 time,x,y
45.9,10380.34067,7808.449739
46,10391.42607,7798.944723
46.1,10402.48043,7789.368321
46.2,10413.50383,7779.720733
46.3,10424.49637,7770.002158
46.4,10435.45813,7760.212795
46.5,10446.38919,7750.352843
46.6,10457.28965,7740.422498
46.7,10468.15959,7730.421958
46.8,10478.99909,7720.35142
46.9,10489.80824,7710.211079
47,10500.58713,7700.001132
47.1,10511.33584,7689.721772
47.2,10522.05444,7679.373194
47.3,10532.74304,7668.955592
47.4,10543.40171,7658.46916
47.5,10554.03053,7647.91409
47.6,10564.6296,7637.290573
47.7,10575.19898,7626.598803
47.8,10585.73877,7615.83897
47.9,10596.24906,7605.011264
48,10606.72991,7594.115876
48.1,10617.18141,7583.152994
48.2,10627.60365,7572.122809
48.3,10637.99671,7561.025509
48.4,10648.36067,7549.86128
48.5,10658.69561,7538.630312
48.6,10669.00161,7527.33279
48.7,10679.27876,7515.968902
48.8,10689.52712,7504.538832
48.9,10699.7468,7493.042767
49,10709.93785,7481.48089
49.1,10720.10038,7469.853387
49.2,10730.23445,7458.160441
49.3,10740.34014,7446.402235
49.4,10750.41753,7434.578952
49.5,10760.46671,7422.690774
49.6,10770.48776,7410.737883
49.7,10780.48074,7398.72046
49.8,10790.44574,7386.638686
49.9,10800.38284,7374.492741
50,10810.29212,7362.282804
50.1,10820.17365,7350.009056
50.2,10830.02752,7337.671674
50.3,10839.85379,7325.270836
50.4,10849.65255,7312.806721
50.5,10859.42387,7300.279505
50.6,10869.16783,7287.689366
50.7,10878.88451,7275.036479
50.8,10888.57398,7262.32102
50.9,10898.23632,7249.543164
51,10907.87161,7236.703087
51.1,10917.47992,7223.800961
51.2,10927.06132,7210.836962
51.3,10936.6159,7197.811262
51.4,10946.14373,7184.724033
51.5,10955.64487,7171.575449
51.6,10965.11942,7158.365681
51.7,10974.56743,7145.0949
51.8,10983.98899,7131.763278
51.9,10993.38417,7118.370984
52,11002.75304,7104.918188
52.1,11012.09568,7091.40506
52.2,11021.41217,7077.831769
52.3,11030.70256,7064.198484
52.4,11039.96694,7050.505371
52.5,11049.20538,7036.752599
52.6,11058.41796,7022.940335
52.7,11067.60474,7009.068745
52.8,11076.76579,6995.137996
52.9,11085.9012,6981.148253
53,11095.01102,6967.099681
53.1,11104.09534,6952.992445
53.2,11113.15422,6938.826709
53.3,11122.18774,6924.602638
53.4,11131.19596,6910.320393
53.5,11140.17896,6895.980139
53.6,11149.13681,6881.582038
53.7,11158.06958,6867.126252
53.8,11166.97733,6852.612941
53.9,11175.86014,6838.042268
54,11184.71808,6823.414393
54.1,11193.55122,6808.729476
54.2,11202.35963,6793.987676
54.3,11211.14337,6779.189154
54.4,11219.90252,6764.334068
54.5,11228.63714,6749.422575
54.6,11237.34731,6734.454835
54.7,11246.03308,6719.431005
54.8,11254.69454,6704.351241
54.9,11263.33174,6689.215701
55,11271.94476,6674.02454
55.1,11280.53367,6658.777914
55.2,11289.09852,6643.475979
55.3,11297.63939,6628.11889
55.4,11306.15635,6612.7068
55.5,11314.64946,6597.239864
55.6,11323.11879,6581.718236
55.7,11331.56441,6566.142068
55.8,11339.98638,6550.511513
55.9,11348.38477,6534.826724
56,11356.75964,6519.087852
56.1,11365.11106,6503.295049
56.2,11373.4391,6487.448466
56.3,11381.74382,6471.548254
56.4,11390.02528,6455.594562
56.5,11398.28356,6439.58754
56.6,11406.51872,6423.527338
56.7,11414.73081,6407.414104
56.8,11422.91992,6391.247988
56.9,11431.08609,6375.029137
57,11439.2294,6358.757698
57.1,11447.3499,6342.43382
57.2,11455.44767,6326.057648
57.3,11463.52277,6309.62933
57.4,11471.57526,6293.149011
57.5,11479.60519,6276.616837
57.6,11487.61265,6260.032953
57.7,11495.59768,6243.397503
57.8,11503.56036,6226.710633
57.9,11511.50074,6209.972487
58,11519.41888,6193.183207
58.1,11527.31486,6176.342937
58.2,11535.18873,6159.45182
58.3,11543.04055,6142.509998
58.4,11550.87038,6125.517613
58.5,11558.6783,6108.474807
58.6,11566.46435,6091.38172
58.7,11574.22859,6074.238494
58.8,11581.9711,6057.04527
58.9,11589.69193,6039.802186
59,11597.39114,6022.509383
59.1,11605.0688,6005.167
59.2,11612.72495,5987.775175
59.3,11620.35967,5970.334048
59.4,11627.97302,5952.843755
59.5,11635.56504,5935.304436
59.6,11643.13581,5917.716226
59.7,11650.68538,5900.079264
59.8,11658.21381,5882.393685
59.9,11665.72116,5864.659626
60,11673.20749,5846.877222
60.1,11680.67285,5829.046609
60.2,11688.11732,5811.167921
60.3,11695.54094,5793.241294
60.4,11702.94377,5775.266862
60.5,11710.32588,5757.244757
60.6,11717.68732,5739.175115
60.7,11725.02814,5721.058068
60.8,11732.34841,5702.893748
60.9,11739.64819,5684.682289
61,11746.92752,5666.423821
61.1,11754.18647,5648.118478
61.2,11761.4251,5629.766389
61.3,11768.64346,5611.367686
61.4,11775.8416,5592.922499
61.5,11783.0196,5574.430959
61.6,11790.17749,5555.893196
61.7,11797.31534,5537.309338
61.8,11804.43321,5518.679515
61.9,11811.53115,5500.003855
62,11818.60921,5481.282487
62.1,11825.66745,5462.515539
62.2,11832.70593,5443.703139
62.3,11839.7247,5424.845413
62.4,11846.72382,5405.942489
62.5,11853.70334,5386.994493
62.6,11860.66332,5368.001551
62.7,11867.60382,5348.96379
62.8,11874.52487,5329.881334
62.9,11881.42655,5310.754309
63,11888.30891,5291.58284
63.1,11895.17199,5272.367051
63.2,11902.01586,5253.107067
63.3,11908.84056,5233.80301
63.4,11915.64616,5214.455004
63.5,11922.4327,5195.063173
63.6,11929.20024,5175.627639
63.7,11935.94883,5156.148525
63.8,11942.67852,5136.625952
63.9,11949.38937,5117.060042
64,11956.08143,5097.450917
64.1,11962.75475,5077.798698
64.2,11969.40938,5058.103504
64.3,11976.04539,5038.365457
64.4,11982.66281,5018.584677
64.5,11989.2617,4998.761283
64.6,11995.84212,4978.895394
64.7,12002.40411,4958.98713
64.8,12008.94773,4939.036609
64.9,12015.47302,4919.043949
65,12021.98005,4899.009269
65.1,12028.46885,4878.932686
65.2,12034.93949,4858.814318
65.3,12041.392,4838.65428
65.4,12047.82646,4818.452691
65.5,12054.24289,4798.209667
65.6,12060.64136,4777.925323
65.7,12067.02191,4757.599775
65.8,12073.3846,4737.233138
65.9,12079.72947,4716.825528
66,12086.05658,4696.37706
66.1,12092.36597,4675.887847
66.2,12098.65769,4655.358004
66.3,12104.9318,4634.787644
66.4,12111.18834,4614.176882
66.5,12117.42736,4593.52583
66.6,12123.64892,4572.8346
66.7,12129.85305,4552.103306
66.8,12136.03981,4531.33206
66.9,12142.20925,4510.520973
67,12148.36141,4489.670157
67.1,12154.49635,4468.779724
67.2,12160.61411,4447.849783
67.3,12166.71473,4426.880447
67.4,12172.79828,4405.871824
67.5,12178.8648,4384.824026
67.6,12184.91432,4363.737162
67.7,12190.94691,4342.611341
67.8,12196.96261,4321.446672
67.9,12202.96146,4300.243264
68,12208.94352,4279.001226
68.1,12214.90883,4257.720665
68.2,12220.85743,4236.40169
68.3,12226.78938,4215.044408
68.4,12232.70472,4193.648927
68.5,12238.6035,4172.215353
68.6,12244.48575,4150.743792
68.7,12250.35154,4129.234353
68.8,12256.20091,4107.687139
68.9,12262.03389,4086.102258
69,12267.85055,4064.479815
69.1,12273.65092,4042.819914
69.2,12279.43504,4021.122661
69.3,12285.20297,3999.388161
69.4,12290.95475,3977.616517
69.5,12296.69043,3955.807833
69.6,12302.41005,3933.962214
69.7,12308.11365,3912.079763
69.8,12313.80128,3890.160582
69.9,12319.47298,3868.204776
70,12325.12881,3846.212445
70.1,12330.7688,3824.183693
70.2,12336.39299,3802.118622
70.3,12342.00144,3780.017332
70.4,12347.59419,3757.879927
70.5,12353.17127,3735.706506
70.6,12358.73274,3713.49717
70.7,12364.27864,3691.252021
70.8,12369.80901,3668.971158
70.9,12375.32389,3646.654682
71,12380.82333,3624.302691
71.1,12386.30738,3601.915287
71.2,12391.77606,3579.492567
71.3,12397.22944,3557.03463
71.4,12402.66755,3534.541576
71.5,12408.09043,3512.013503
71.6,12413.49812,3489.450508
71.7,12418.89068,3466.852689
71.8,12424.26813,3444.220144
71.9,12429.63053,3421.552971
72,12434.97791,3398.851265
72.1,12440.31033,3376.115124
72.2,12445.62781,3353.344645
72.3,12450.9304,3330.539923
72.4,12456.21814,3307.701054
72.5,12461.49108,3284.828133
72.6,12466.74925,3261.921257
72.7,12471.9927,3238.980521
72.8,12477.22147,3216.006018
72.9,12482.4356,3192.997844
73,12487.63513,3169.956093
73.1,12492.8201,3146.880859
73.2,12497.99055,3123.772235
73.3,12503.14653,3100.630315
73.4,12508.28807,3077.455193
73.5,12513.41521,3054.246962
73.6,12518.528,3031.005713
73.7,12523.62647,3007.73154
73.8,12528.71066,2984.424534
73.9,12533.78062,2961.084788
74,12538.83639,2937.712393
74.1,12543.87799,2914.307442
74.2,12548.90548,2890.870023
74.3,12553.9189,2867.40023
74.4,12558.91827,2843.898152
74.5,12563.90365,2820.36388
74.6,12568.87507,2796.797504
74.7,12573.83257,2773.199114
74.8,12578.77619,2749.568799
74.9,12583.70596,2725.906649
75,12588.62193,2702.212753
75.1,12593.52414,2678.4872
75.2,12598.41262,2654.730079
75.3,12603.28742,2630.941477
75.4,12608.14856,2607.121484
75.5,12612.99609,2583.270187
75.6,12617.83005,2559.387673
75.7,12622.65048,2535.47403
75.8,12627.45741,2511.529345
75.9,12632.25088,2487.553706
76,12637.03092,2463.547198
76.1,12641.79758,2439.509909
76.2,12646.5509,2415.441924
76.3,12651.29091,2391.343329
76.4,12656.01764,2367.214211
76.5,12660.73114,2343.054654
